"StockKeyLabel","AssessmentYear","AdviceCategory","lineDescription","FishingPressure","StockSize","SBL","Ecoregion","FisheriesGuild"
"boc.27.6-8",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"boc.27.6-8",2017,"PA","Precautionary approach","GREY","GREY","GREY","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bsf.27.nea",2018,"PA","Precautionary approach","GREY","GREY","GREY","Arctic Ocean Ecoregion, Azores Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"bss.27.4bc7ad-h",2018,"MSY","Maximum sustainable yield","GREEN","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"bss.27.4bc7ad-h",2018,"MSY","Precautionary approach","GREEN","RED","RED","Celtic Seas Ecoregion, Greater North Sea Ecoregion","demersal"
"bss.27.6a7bj",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion","demersal"
"bss.27.6a7bj",2017,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion","demersal"
"cap.27.2a514",2018,"PA","Maximum sustainable yield","GREY","GREY","GREY","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"cap.27.2a514",2018,"PA","Precautionary approach","GREY","GREEN","GREY","Arctic Ocean Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion","pelagic"
"cod.27.6a",2019,"MSY","Maximum sustainable yield","RED","RED","RED","Celtic Seas Ecoregion","demersal"
"cod.27.6a",2019,"MSY","Precautionary approach","ORANGE","RED","RED","Celtic Seas Ecoregion","demersal"
"cod.27.6b",2017,"PA","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"cod.27.6b",2017,"PA","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion, Oceanic Northeast Atlantic Ecoregion","demersal"
"cod.27.7a",2019,"MSY","Maximum sustainable yield","GREY","GREY","GREY","Celtic Seas Ecoregion","demersal"
"cod.27.7a",2019,"MSY","Precautionary approach","GREY","GREY","GREY","Celtic Seas Ecoregion","demersal"
